state,region,num_wineries,Lat,Lng
Arizona,Arizona,12,34.0489281,-111.0937311
Arizona,Cochise County,27,31.82845799999999,-109.949686
Arizona,Sonoita,2,31.6795337,-110.6553594
California,Adelaida District,110,35.64969680000001,-120.7974514
California,Alexander Valley,784,38.6129647,-122.7694345
California,Alta Mesa,9,37.398829,-122.1346859
California,Amador County,397,38.3488921,-120.7740931
California,Amador-Napa,2,38.3401543,-122.2819456
California,Anderson Valley,646,39.0865657,-123.4794542
California,Antelope Valley of the California High Desert,4,34.7513712,-118.2522977
California,Arroyo Grande Valley,163,35.1443363,-120.543623
California,Arroyo Seco,211,23.0752507,-109.7241712
California,Atlas Peak,68,38.450743,-122.2627529
California,Ballard Canyon,79,34.6354195,-120.1479918
California,Ben Lomond Mountain,21,41.363274,-111.960498
California,Bennett Valley,75,38.4404672,-122.6766527
California,Big Valley District-Lake County,2,39.0221274,-122.8870837
California,Calaveras County,98,38.1960477,-120.6805037
California,California,2629,36.778261,-119.4179324
California,California Other,5,36.778261,-119.4179324
California,California-Oregon,1,39.59388999999999,-121.52833
California,Calistoga,149,38.5787965,-122.5797054
California,Capay Valley,3,38.7107366,-122.0471933
California,Carmel Valley,96,36.4799024,-121.7327931
California,Carneros,999,38.2554556,-122.3348556
California,Carneros-Napa Valley,23,38.2554556,-122.3348556
California,Central Coast,749,40.7834482,-124.1400085
California,Central Valley,4,40.19987769999999,-122.2011075
California,Chalk Hill,88,38.5682227,-122.7710031
California,Chalone,71,36.4701378,-121.2298315
California,Chiles Valley,12,38.532564,-122.3261472
California,Cienega Valley,22,36.7099602,-121.3349326
California,Clarksburg,105,39.2806451,-80.34453409999999
California,Clear Lake,28,39.05819049999999,-122.831015
California,Clements Hills,16,38.19091,-121.08767
California,Cole Ranch,6,35.9733,-119.035202
California,Contra Costa County,73,37.8534093,-121.9017954
California,Coombsville,55,38.2971707,-122.2864459
California,Cucamonga Valley,13,34.0192133,-117.6279752
California,Diamond Mountain District,154,40.3126723,-120.6930061
California,Dry Creek Valley,939,38.6112043,-122.8734439
California,Dunnigan Hills,39,38.794346,-121.9552466
California,Edna Valley,410,35.2170004,-120.6075179
California,El Dorado,310,36.1574897,-95.7610321
California,El Dorado County,20,38.74263759999999,-120.4357631
California,El Pomar District,7,38.7921197,-104.8504584
